mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
-0.013,0.041,-0.108,-0.009,0.057,-0.004,0,-1.29158649797124,-10.2372403569565,5.86558103955002,0.6,COME,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.251,0.186,-0.711,-0.225,0.039,-0.188,0,-22.1977628441043,-50.8847200996317,3.97704836501578,0.9521,COME,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.043,0.045,-0.146,-0.039,0.032,-0.033,0,-4.20886099329694,-13.5842296815357,3.25175053051183,0.8607,COME,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
0.004,0.014,-0.022,0.003,0.034,0.002,0,0.400801067734191,-2.175976494879,3.45846067281179,0.5829,COME,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
0.041,0.015,0.011,0.041,0.069,0.041,0,4.18521055454795,1.10607224447195,7.14362091483463,0.9969,COME,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.005,0.016,-0.033,-0.006,0.029,-0.007,0,-0.498752080731768,-3.2461440410968,2.94245944751308,0.6661,COME,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.03,0.031,-0.094,-0.029,0.028,-0.029,0,-2.95544664514918,-8.9717237759233,2.8395684421425,0.8594,RBME,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.087,0.072,-0.227,-0.088,0.05,-0.088,0,-8.33229043668478,-20.307921770986,5.12710963760241,0.9194,RBME,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.005,0.047,-0.093,-0.008,0.094,-0.012,0,-0.498752080731768,-8.88064997038595,9.85597459171736,0.5805,RBME,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.005,0.014,-0.032,-0.006,0.021,-0.006,0,-0.498752080731768,-3.14934179208024,2.12220516375285,0.6812,RUGR,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,1160,921,Ruffed Grouse,Gélinotte huppée
-0.022,0.026,-0.074,-0.022,0.027,-0.022,0,-2.175976494879,-7.13283061587128,2.73678027634894,0.815,RUGR,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,1160,921,Ruffed Grouse,Gélinotte huppée
-0.01,0.017,-0.042,-0.011,0.024,-0.012,0,-0.995016625083189,-4.11302194275155,2.42903178906215,0.7533,RUGR,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,1160,921,Ruffed Grouse,Gélinotte huppée
-0.075,0.034,-0.154,-0.072,-0.019,-0.068,0,-7.22565136714471,-14.2727978988543,-1.8820637757194,0.9933,COLO,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.258,0.189,-0.721,-0.234,0.037,-0.196,0,-22.7404767893072,-51.3734253000965,3.76930208381572,0.9534,COLO,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.101,0.057,-0.244,-0.093,-0.015,-0.083,0,-9.60669671141359,-21.6512365737137,-1.48880603969374,0.9855,COLO,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.016,0.012,-0.041,-0.016,0.006,-0.016,0,-1.58726799447149,-4.01708700522011,0.601803605406492,0.9235,COLO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.046,0.046,-0.134,-0.048,0.046,-0.051,0,-4.49580378092853,-12.5409935396666,4.70744109569372,0.875,COLO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.022,0.014,-0.052,-0.022,0.005,-0.021,0,-2.175976494879,-5.06711331571105,0.501252085940096,0.9411,COLO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-1.352,1.123,-4.589,-1.051,-0.111,-0.76,0,-74.127770174036,-98.9836983690135,-10.5061251070969,0.984,HOGR,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,1620,979,Horned Grebe,Grèbe esclavon
-0.024,0.04,-0.114,-0.021,0.045,-0.018,0,-2.37142902420907,-10.7742044117592,4.60278599087169,0.7515,RNGR,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.25,0.196,-0.705,-0.231,0.071,-0.199,0,-22.1199216928595,-50.5891425743858,7.35812258683575,0.9341,RNGR,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.079,0.062,-0.233,-0.071,0.015,-0.061,0,-7.59600755549132,-20.7846426475686,1.51130646157189,0.9488,RNGR,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.014,0.034,-0.087,-0.012,0.048,-0.011,0,-1.39024557371381,-8.33229043668478,4.91706553244706,0.6695,RNGR,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.033,0.081,-0.207,-0.03,0.111,-0.025,0,-3.2461440410968,-18.6980350012429,11.7394906854458,0.6728,RNGR,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.013,0.041,-0.096,-0.012,0.061,-0.011,0,-1.29158649797124,-9.15359839312938,6.28989141871952,0.6287,RNGR,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.096,0.069,-0.258,-0.09,0.021,-0.082,0,-9.15359839312938,-22.7404767893072,2.12220516375285,0.9454,AWPE,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,2350,4142,American White Pelican,Pélican d'Amérique
-0.331,0.085,-0.541,-0.321,-0.197,-0.309,0,-28.179483095943,-41.7834204601359,-17.8809366687342,0.9994,AWPE,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,2350,4142,American White Pelican,Pélican d'Amérique
-0.124,0.071,-0.285,-0.119,-0.001,-0.113,0,-11.6620159117249,-24.7985745680617,-0.0999500166624978,0.9716,AWPE,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,2350,4142,American White Pelican,Pélican d'Amérique
-0.229,0.054,-0.549,-0.214,0.056,-0.219,683.491,-20.4671466494906,-42.2472951238045,5.75976837366112,1,BAEA,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
-0.253,0.186,-0.702,-0.23,0.042,-0.191,0,-22.3532118176262,-50.4406874307349,4.28944787507632,0.951,BAEA,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
-0.06,0.053,-0.18,-0.054,0.028,-0.041,0,-5.82354664157513,-16.4729788588728,2.8395684421425,0.902,BAEA,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
0.015,0.004,0.007,0.015,0.023,0.015,0,1.51130646157189,0.702455726684859,2.32665395472176,0.9998,BAEA,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
0.008,0.012,-0.015,0.008,0.03,0.008,0,0.803208550427348,-1.48880603969374,3.04545339535169,0.744,BAEA,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
