mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
-0.813,0.863,-3.197,-0.632,0.281,-0.45,0,-55.647450811479,-95.9115325796213,32.4453603935257,0.9113,HOGR,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,1620,979,Horned Grebe,Grèbe esclavon
0.014,0.022,-0.028,0.014,0.056,0.013,0,1.40984589384923,-2.76116331987531,5.75976837366112,0.7484,RNGR,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
0,0.045,-0.1,0.002,0.081,0.005,0,0,-9.51625819640405,8.43708965667604,0.4678,RNGR,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
0.004,0.025,-0.046,0.003,0.053,0.003,0,0.400801067734191,-4.49580378092853,5.4429645119356,0.5539,RNGR,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.015,0.034,-0.089,-0.013,0.046,-0.012,0,-1.48880603969374,-8.5154426425548,4.70744109569372,0.6791,RNGR,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.034,0.082,-0.211,-0.03,0.111,-0.025,0,-3.34284953624934,-19.0225933118724,11.7394906854458,0.6687,RNGR,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.015,0.047,-0.126,-0.011,0.062,-0.006,0,-1.48880603969374,-11.8385153216584,6.39623447280337,0.615,RNGR,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1630,980,Red-necked Grebe,Grèbe jougris
-0.044,0.043,-0.135,-0.044,0.036,-0.043,0,-4.30460425269533,-12.6284088311966,3.66558464909237,0.8774,AWPE,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,2350,4142,American White Pelican,Pélican d'Amérique
-0.206,0.048,-0.299,-0.208,-0.109,-0.21,0,-18.6166923717079,-25.8440590564989,-10.3269582501765,0.9993,AWPE,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,2350,4142,American White Pelican,Pélican d'Amérique
-0.046,0.053,-0.146,-0.048,0.063,-0.051,0,-4.49580378092853,-13.5842296815357,6.50268392313054,0.8526,AWPE,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,2350,4142,American White Pelican,Pélican d'Amérique
