mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
-0.426,0.273,-1.087,-0.393,0.023,-0.352,0,-34.6883657879324,-66.2773342323815,2.32665395472176,0.9695,LESC,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,S,690,432,Lesser Scaup,Petit Fuligule
0.297,0.078,0.145,0.294,0.46,0.289,0,34.5815299448098,15.6039570268022,58.4073984994482,0.9993,WWSC,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,45994,461,White-winged Scoter,Macreuse à ailes blanches
2.108,0.984,0.638,1.945,4.608,1.733,0,723.176128754782,89.2691707980723,9928.33821715039,0.9954,LTDU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,810,472,Long-tailed Duck,Harelde kakawi
2.294,1.093,0.73,2.098,5.123,1.852,0.001,891.451653683741,107.508060767412,16683.8129492705,0.9956,LTDU,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,810,472,Long-tailed Duck,Harelde kakawi
-0.012,0.075,-0.167,-0.01,0.134,-0.005,0,-1.19282871380695,-15.3800388662812,14.3392819644647,0.558,BUFF,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
0.03,0.212,-0.433,0.036,0.447,0.039,0,3.04545339535169,-35.1439508195024,56.3614299286418,0.5755,COGO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
-0.043,0.107,-0.248,-0.046,0.184,-0.051,0,-4.20886099329694,-21.9640056721966,20.2015823096301,0.6886,HOME,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,870,482,Hooded Merganser,Harle couronné
0.099,0.141,-0.162,0.09,0.419,0.081,0,10.4066299558882,-14.9558795459767,52.0440354790196,0.7893,COME,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,880,489,Common Merganser,Grand Harle
-0.038,0.078,-0.204,-0.036,0.115,-0.033,0,-3.72870591088005,-18.4537628812707,12.1873437571938,0.7088,COME,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,880,489,Common Merganser,Grand Harle
0.184,0.17,-0.134,0.175,0.558,0.162,0,20.2015823096301,-12.5409935396666,74.7174654307446,0.8851,RBME,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,890,495,Red-breasted Merganser,Harle huppé
0.13,0.08,-0.052,0.135,0.276,0.143,0,13.8828383324622,-5.06711331571105,31.7847864027303,0.939,RBME,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.031,0.099,-0.229,-0.033,0.18,-0.035,0,-3.05244269239741,-20.4671466494906,19.721736312181,0.6603,COLO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
0.036,0.015,0.006,0.035,0.072,0.034,23.31,3.66558464909237,0.601803605406492,7.46553440638136,0.9976,DCCO,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,2390,4117,Double-crested Cormorant,Cormoran à aigrettes
0.032,0.019,-0.005,0.032,0.068,0.032,0,3.25175053051183,-0.498752080731768,7.03653084787743,0.9581,DCCO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,S,2390,4117,Double-crested Cormorant,Cormoran à aigrettes
0.001,0.071,-0.14,-0.001,0.151,-0.002,0,0.100050016670838,-13.0641764601194,16.299665808182,0.492,GBHE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,2550,4186,Great Blue Heron,Grand Héron
